# Wind speed (m/s) 	 Rotor rotational speed (rpm) 	 Pitch angle (deg) 	 Rotor electrical power (W) 	 Rotor aerodynamic power (W) 	 Rotor thrust (N) 	 Rotor aerodynamic torque (Nm) 	 Blade root flapwise moment (Nm)	 Rotor electrical power coefficient (-) 	 Rotor aerodynamic power coefficient (-) 	 Rotor thrust coefficient (-) 	 Rotor aerodynamic torque coefficient
1.199408760159836973e+01	8.676358514928423915e+00	6.119091443214990989e+00	1.000000010537454858e+07	1.059322045060863160e+07	1.154846103684548289e+06	1.165901613038930856e+07	2.320046714099933207e+07	3.111872737233797315e-01	3.296475357239192494e-01	4.310356122709486648e-01	4.423241606838219930e-02
1.249936090527574351e+01	8.676358514928423915e+00	7.453666363879428935e+00	9.999986887570856139e+06	1.059320644869794138e+07	1.079006652537409682e+06	1.165900071973082423e+07	2.129465585334233567e+07	2.749536435989509697e-01	2.912644529649904279e-01	3.708275390148727535e-01	4.072854589223295907e-02
1.303238875385397399e+01	8.676358514928423915e+00	8.674208568296487343e+00	1.000003442874381691e+07	1.059325681010997668e+07	1.014926632006717380e+06	1.165905614806048386e+07	1.964706455047263578e+07	2.425788253148929152e-01	2.569690946132340281e-01	3.208559287394011084e-01	3.746524119599931729e-02
1.359198769221171865e+01	8.676358514928423915e+00	9.820457361305548361e+00	1.000002349595197476e+07	1.059324522876268625e+07	9.592766150388917886e+05	1.165904340150097385e+07	1.818085117070741579e+07	2.138334167044390055e-01	2.265184498987701522e-01	2.788055309144137905e-01	3.444372916855893002e-02
1.417691527076352642e+01	8.676358514928423915e+00	1.091438895799287856e+01	1.000001775337508135e+07	1.059323914552445151e+07	9.101565717779478291e+05	1.165903670622138120e+07	1.685263293252228573e+07	1.884425673192807460e-01	1.996213636856787599e-01	2.431510192490005939e-01	3.166010668389212385e-02
1.478587280400862625e+01	8.676358514928423915e+00	1.196943687239805598e+01	1.000001422550902702e+07	1.059323540837820619e+07	8.663394980127625167e+05	1.165903259307670034e+07	1.563506661497560330e+07	1.661051864305991554e-01	1.759588839307194563e-01	2.127735581146029953e-01	2.910594984314143763e-02
1.541750825393751079e+01	8.676358514928423915e+00	1.299431017882556105e+01	1.000001169278926961e+07	1.059323272541236319e+07	8.269715655135344714e+05	1.165902964017468318e+07	1.450963400195683725e+07	1.465147713618851766e-01	1.552063255952173537e-01	1.868037845538886021e-01	2.676992898520375377e-02
1.607041923189443366e+01	8.676358514928423915e+00	1.399491255352665142e+01	1.000000964808002673e+07	1.059323055940680765e+07	7.914223239185451530e+05	1.165902725624490157e+07	1.346308083966806531e+07	1.293725899244434485e-01	1.370472350894528235e-01	1.645422214161516572e-01	2.463888761709936981e-02
1.674315611223093114e+01	8.676358514928423915e+00	1.497531296801767375e+01	1.000000796020677499e+07	1.059322877140548266e+07	7.592050493342147674e+05	1.165902528835077584e+07	1.248546662168332562e+07	1.143962632916687983e-01	1.211824823004966217e-01	1.454145646299719041e-01	2.269868944372226832e-02
1.743422525083726526e+01	8.676358514928423915e+00	1.593831047008151813e+01	1.000000646715085581e+07	1.059322718977844901e+07	7.299309422859635670e+05	1.165902354759448953e+07	1.156905305322209746e+07	1.013248093379746778e-01	1.073356031122613130e-01	1.289436445432474432e-01	2.093486023398785645e-02
1.814209230140588147e+01	8.676358514928423915e+00	1.688579726244849510e+01	1.000000510048705712e+07	1.059322574204137549e+07	7.032817348269618815e+05	1.165902195419897884e+07	1.070766154757334478e+07	8.992109311419634043e-02	9.525539524808934733e-02	1.147302834935405857e-01	1.933305861513137311e-02
1.886518562206390470e+01	8.676358514928423915e+00	1.781900214135142591e+01	1.000000398382723890e+07	1.059322455913902447e+07	6.789909484216970159e+05	1.165902065228351206e+07	9.896210347606025636e+06	7.997244933399307032e-02	8.471657768431470337e-02	1.024389909636654050e-01	1.787940648106271790e-02
1.960189976481116503e+01	8.676358514928423915e+00	1.873863648218063105e+01	1.000000308809618466e+07	1.059322361027138308e+07	6.568313323408418801e+05	1.165901960794923827e+07	9.130455905410742387e+06	7.129008205294010136e-02	7.551915471709756689e-02	9.178696418227780263e-02	1.656070787541965086e-02
2.035059904001617426e+01	8.676358514928423915e+00	1.964500733890007567e+01	1.000000236189536005e+07	1.059322284099084884e+07	6.366061105192076648e+05	1.165901876127053797e+07	8.406811185047423467e+06	6.370770822479096540e-02	6.748697905168535294e-02	8.253532777378175256e-02	1.536458370555802630e-02
2.110962114805623102e+01	8.676358514928423915e+00	2.053811270828666480e+01	1.000000175955905020e+07	1.059322220292272419e+07	6.181427638262582477e+05	1.165901805900566839e+07	7.722204347287648357e+06	5.707977226142857408e-02	6.046586044642857788e-02	7.448200929111564728e-02	1.427954234385889198e-02
2.187728087003820931e+01	8.676358514928423915e+00	2.141772033741390402e+01	1.000000125742786005e+07	1.059322167100409046e+07	6.012885563480235869e+05	1.165901747357011028e+07	7.073964870791867375e+06	5.127946668625731064e-02	5.432146894730647407e-02	6.745586662783840948e-02	1.329500362564601385e-02
2.265187380940600548e+01	8.676358514928423915e+00	2.228343376882121163e+01	1.000000084920785949e+07	1.059322123856764846e+07	5.859069129647428636e+05	1.165901699762575701e+07	6.459724003347790800e+06	4.619671653830590557e-02	4.893719972278168240e-02	6.131176630848897413e-02	1.240128990859260677e-02
2.343168017612706322e+01	8.676358514928423915e+00	2.313472549394408162e+01	1.000000052610334568e+07	1.059322089629591815e+07	5.718746902498918353e+05	1.165901662091768906e+07	5.877377619925585575e+06	4.173622862616700735e-02	4.421210659551590150e-02	5.592648015613785328e-02	1.158959477898655749e-02
2.421496860505636306e+01	8.676358514928423915e+00	2.397096945455135142e+01	1.000000028235127032e+07	1.059322063808397390e+07	5.590802006090629147e+05	1.165901633672675490e+07	5.325052195870513096e+06	3.781566604630454825e-02	4.005896826939041311e-02	5.119526135016187751e-02	1.085193745696823829e-02
2.500000000000000000e+01	8.676358514928423915e+00	2.479145706699415541e+01	1.000004165528011136e+07	1.059326446533910185e+07	5.474235043914358830e+05	1.165906457349071652e+07	4.801115539972973056e+06	3.436412228034124716e-02	3.640267190714115142e-02	4.702912470896424002e-02	1.018115108332236403e-02
